==== bert_W_QKV (128,768,768), iters=1000 ====
[PCG] Loaded from /home/ylu18/luoresearch/2PC/results/bert_hybrid_20260505_020113/brillm_dummy_pcg/bert_W_QKV_party0.bin
[PCG] Matrix: [128×768] × [768×768] = [128×768], k=64-bit

╔═══════════════════════════════════════════════════════════╗
║  GPU Matrix Beaver Online                                 ║
║  Y = X × W                                                ║
╠═══════════════════════════════════════════════════════════╣
║  GPU: NVIDIA RTX A6000                               ║
║  Matrix: [128×768] × [768×768] = [128×768]                      
║  k_bits: 64                                              ║
║  iterations: 1000                                         ║
╚═══════════════════════════════════════════════════════════╝

Iter 114: total=3.06 ms, PRG=0.07 ms, comm=2.27 ms, GEMM=0.28 ms
Iter 115: total=3.03 ms, PRG=0.07 ms, comm=2.22 ms, GEMM=0.28 ms
Iter 116: total=3.03 ms, PRG=0.07 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 117: total=2.99 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.27 ms
Iter 118: total=2.99 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.27 ms
Iter 119: total=3.03 ms, PRG=0.07 ms, comm=2.23 ms, GEMM=0.28 ms
Iter 120: total=3.01 ms, PRG=0.07 ms, comm=2.21 ms, GEMM=0.28 ms
Iter 121: total=3.86 ms, PRG=0.07 ms, comm=3.04 ms, GEMM=0.28 ms
Iter 122: total=3.00 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 123: total=3.00 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.27 ms
Iter 124: total=3.03 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 125: total=3.02 ms, PRG=0.07 ms, comm=2.23 ms, GEMM=0.27 ms
Iter 126: total=3.00 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 127: total=3.02 ms, PRG=0.07 ms, comm=2.20 ms, GEMM=0.28 ms
Iter 128: total=3.05 ms, PRG=0.07 ms, comm=2.22 ms, GEMM=0.28 ms
